country_code,total_sentiment,values_norm
bar,0,-1.0
SDN,0,0.0
IDN,1,0.3333333333333333
foo,0,1.0
TZA,0,0.0
GBR,33,1.0
PAK,7,0.28
ZAF,0,0.0
LAO,0,0.0
CMR,0,0.0
ISR,0,0.0
USA,1,0.030303030303030304
NZL,0,0.0
IRL,0,0.0
NGA,0,0.0
LSO,0,0.0
MHL,0,0.0
TUR,1,0.3333333333333333
ROU,0,0.0
UKR,0,0.0
SWE,0,0.0
CAN,1,0.04
MYS,1,0.3333333333333333
IND,1,0.038461538461538464
KEN,1,0.045454545454545456
CHN,0,0.0
UGA,0,0.0
ITA,1,0.045454545454545456
PHL,0,0.0
AND,1,0.038461538461538464
KNA,1,0.038461538461538464
MAR,0,0.0
